Predicate	Abstraction
show_loyalty_to	respect_as:ally&committing, <obtain_as:ally&attracting
sing_along_to	<support_with:rhythm&accompanying
sleep_with	perform_with:sex*&sleeping
sympathize_with	<imbue_with:sympathy&moving, <obtain_as:ally&moving
pity	<imbue_with:pity&moving
appoint	appoint_as:appointee&appointing
hire	appoint_as:employee&hiring
recruit	appoint_as:recruit&recruiting
retain	appoint_as:representative&retaining
recruit_for	^appoint_for:recruiter&recruiting
argue_from	oppose_with:opponent*&arguing
argue_against	oppose_with:argument&arguing
brief_against	oppose_with:brief&briefing
claim_against	oppose_with:counterclaim&claiming
preach_against	oppose_with:sermon&preaching
testify_against	oppose_with:testimony&testifying
warn_against	oppose_with:concern&warning
argue_with	oppose_with:argument&arguing
argue_using	oppose_with:opponent*&arguing
are_surrounded_by	obtain_as:following&attracting
are_wooed_by	attract_as:suitor&attracting, <seek_as:mate&wooing
attract	attract_as:interested_party&attracting
charm	attract_with:charm&charming
enroll	attract_as:enrollee, <enter_as:member&enrolling
entice	attract_with:enticement&entricing
invite	provide_to:invitation*&inviting
seduce	attract_with:seduction&seducing, control_with:seduction&seducing
tempt	attract_with:temptation&tempting
charm_with	attract_with:dupe*&charming
dangle	attract_with:dupe*&dangling
entice_with	attract_with:interested_party*&enticing
seduce_with	attract_with:prey*&sedicing
tempt_with	attract_with:sinner*&tempting
titillate_with	attract_with:customer*&titillating
titillate	attract_with:sex&titillating
adore	respect_with:adoration&adoring
attend_to	tend_with:patience&attending
befriend	tend_with:friendship&befriending, respect_as:friend&befriending
care_for	tend_with:compassion&caring
cater_to	tend_with:diligence&catering
fall_in_love_with	respect_with:love&loving, <attract_as:lover&seducing
hug	tend_with:embrace&hugging
look_after	tend_with:concern&caring
love	respect_with:love&loving, tend_with:love&loving
maintain	tend_with:care&maintaining
massage	tend_with:massage&massassing
minister_to	tend_with:dedication&ministering
pamper	tend_with:indulgence&pampering
tend	tend_with:oversight&tending
tend_to	tend_with:patience&tending
wait_on	tend_with:servility&waiting_one
are_burdened_with	carry_as:burden&lugging
carry	carry_as:possession&carrying
deliver	carry_as:delivery&delivering
lift	carry_as:weight&lifting
load	carry_as:load&loading
load:ship	carry_to:cargo*&loading
load:gun, load:rifle, load:musket	provide_to:ammunition*&loading
load:bullet	provide_to:gun&loading
lug	carry_as:heavy_weight&lugging
ship	carry_as:shipping_cargo&shipping
smuggle	carry_as:contraband&smuggling
transmit	carry_as:message&trasmitting
transport	carry_as:cargo&transporting
ship_for	carry_for:cargo*&shipping
load_at	carry_from:load*&loading
ship_from	carry_from:cargo*&shipping
unload_at	carry_to:load*&unloading
deliver_with	carry_with:delivery*&delivering
lift_with	carry_with:weight*&lifting
smuggle_with	carry_with:contraband*&smuggling
transport_on	carry_with:cargo*&transporting
transport_via	carry_with:cargo*&transporting
transport_with	carry_with:cargo*&transporting
abduct	catch_as:abductee&abducting
apprehend	catch_as:fugitive&apprehending
capture	catch_as:captive&capturing
catch	catch_as:prey&catching
kidnap	catch_as:kidnap_victim&kidnapping
pounce_on	catch_as:prey&pouncing
snatch	catch_as:abductee&snatching
trap	catch_as:prey&trapping
catch_with	catch_with:prey*&catching
fish_with	catch_with:fish*&fishing
trap_with	catch_with:prey*&trapping
take_prisoner	catch_as:prisoner&capturing, hold_as:prisoner&capturing
commit	perform_for:criminal_gain&committing, damage_with:victim*&committing
perpetrate	perform_for:criminal_gain&perpetrating, damage_with:victim*&perpetrating
abet	perform_with:crime*&abetting
collude_with	perform_with:collusion*&colluding
conspire_with	perform_with:conspiracy*&conspiring
articulate	communicate_with:language&articulating
convey	communicate_with:language&conveying
express	communicate_with:language&expressing
lodge	communicate_to:official&lodging
read_out	communicate_to:audience&reading_out
report	communicate_about:report*&reporting
say	communicate_as:utterance&saying
set_out	communicate_with:precision&setting_out
shout	communicate_with:shout&shouting
shout_out	communicate_with:shout&shouting
speak	communicate_with:speech&speaking
submit	communicate_as:submission&submitting
swear	communicate_with:solemnity&swearing
utter	communicate_as:utterance&uttering
vent	communicate_as:outburst&venting
admit	communicate_as:admission&admitting
advise_about	communicate_about:advice*&advising
argue	communicate_about:argument*&arguing, oppose_about:opponent*&arguing
argue_about	communicate_about:argument*&arguing, oppose_about:opponent*&arguing
boast_about	communicate_about:boast*&boasting
broadcast	communicate_with:broadcast&broadcasting
chant	communicate_with:chant&chanting
comment_on	communicate_about:comment*&commenting
communicate	communicate_about:message*&communicating
complain_about	communicate_about:complaint*&complaining
debate	oppose_about:opponent*&debating
discuss	start_about:discussion*&discussing
document	produce_about:document*&documenting
editorialize_about	produce_about:editorial*&editorializing
gossip_about	communicate_about:gossip*&gossiping
joke_about	communicate_about:joke*&joking
photograph	produce_about:photograph*&photographing
preach	communicate_about:sermon*&preaching
preach_about	communicate_about:sermon*&preaching
protest_about	communicate_about:protest*&protesting, oppose_about:opponent*&protesting
quote	communicate_from:quote*&quoting
quote_from	communicate_from:quote*&quoting
recount	communicate_as:entertainment&recounting
refer_to	communicate_from:reference*&referring
report_on	communicate_about:report*&reporting
reveal	communicate_about:secret*&revealing
shout_about	communicate_with:shout&shouting
sing_about	perform_about:song*&singing, communicate_about:song*&singing
snitch_on	communicate_about:secret*&snitching
speak_about	communicate_about:speech*&speaking
specify	communicate_about:detail*&specifying
talk_about	communicate_about:speech*&talking
tell	communicate_as:entertainment&telling
testify_about	communicate_about:testimony*&testifying
vote_on	communicate_about:vote*&voting
write_about	communicate_about:text*&writing, produce_about:text*&writing
expound	communicate_about:thesis*&expounding
recite	communicate_as:entertainment&reciting
are_heard_in	communicate_at:opinion*&presenting
argue_in	communicate_at:argument*&arguing
cry_at	communicate_at:sorrow*&crying
debate_in	communicate_at:stance*&debating
hang_out_in	communicate_at:chitchat*&hanging_out
hang_out_on	communicate_at:chitchat*&hanging_out
minister_in	communicate_at:pastoral_care*&ministering
mourn_at	communicate_at:loss*&mourning
pray_in	communicate_at:prayer*&praying
preach_from	communicate_at:sermon*&preaching, communicate_from:sermon*&preaching
preach_in	communicate_at:sermon*&preaching
present_at	communicate_at:presentation*&presenting
protest_in	communicate_at:protest*&protesting
report_in	communicate_at:report*&reporting
shout_at	oppose_with:shout&shouting, communicate_to:shout*&shouting
speak_at	communicate_at:speech*&speaking
speak_from	communicate_at:speech*&speaking
speak_in	communicate_at:speech*&speaking
speak_on	communicate_through:opinion*&speaking
testify_at	communicate_at:testimony*&testifying
pray_for	communicate_for:prayer*&praying
propagandize_for	communicate_for:propaganda*&propagandizing, produce_for:propaganda*&propagandizing
report_for	communicate_for:report*&reporting
speak_for	communicate_for:announcement*&speaking
testify_for	communicate_for:testimony*&testifying
translate_for	communicate_for:translation*&translating, produce_for:translation*&translating
advertise_in	communicate_through:offering*&advertizing
advertise_via	communicate_through:advertisement&advertizing
answer	communicate_to:answer*&answering
are_contacted_via	obtain_from:alert*&making_contact
are_published_by	communicate_through:viewpoint*&publishing, produce_for:publication*&publishing
are_published_in	communicate_through:viewpoint*&publishing
articulate_with	communicate_with:speech*&articulating
blow_into	communicate_with:sound*&blowing
blow_through	communicate_with:sound*&blowing
broadcast_via	communicate_through:broadcast&broadcasting
communicate_through	communicate_through:announcement*&communicating
communicate_via	communicate_through:message*&communicating
post	communicate_through:message*&posting
post_on	communicate_through:post*&posting
preach_on	communicate_through:sermon*&preaching
propagandize_through	communicate_through:propaganda*&propagandizing
protest_by	communicate_through:opposition*&protesting
publish_in	communicate_through:viewpoint*&publishing
publish_through	communicate_through:book*&publishing
speak_through	communicate_through:announcement*&speaking
talk_through	communicate_through:announcement*&talking
testify_before	communicate_to:testimony*&testifying
bang	communicate_through:sound*&banging
blow	communicate_through:sound*&blowing
address	communicate_to:speech*&addressing
admit_to	communicate_to:admission*&admitting
answer_to	communicate_to:answer*&answering
appeal_to	communicate_to:appeal*&appealing
apply_to	communicate_to:application*&applying
argue_before	communicate_to:argument*&arguing
argue_to	communicate_to:argument*&arguing
ask	communicate_to:question*&asking
beg_forgiveness_from	communicate_to:apology*&apologizing
chat_with	communicate_to:chitchat*&chatting
complain_to	communicate_to:complaint*&complaining
confess_to	communicate_to:confession*&confessing
confide_in	communicate_to:confidence*&confiding, imbue_with:trust&confiding
invoice	communicate_to:invoice*&invoicing
invoke	communicate_to:invocation*&invoking, seek_with:invocation&invoking
leak_to	communicate_to:secret*&leaking
lobby	communicate_to:special_interest*&lobbying
pray_to	communicate_to:prayer*&praying
preach_to	communicate_to:sermon*&preaching
reach_out_to	communicate_to:approach*&reaching_out
reply_to	communicate_to:reply*&replying
report_to	communicate_to:report*&reporting
respond_to	communicate_to:response*&responding
seek_advice_from	communicate_to:dilemma*&confiding, seek_from:advice*&consulting
seek_favor_from	communicate_to:request*, seek_from:favor*&brownnosing
share_stories_with	communicate_to:story*&storytelling
snitch_to	communicate_to:secret*&snitching
speak_to	communicate_to:opinion*&speaking
swear_to	communicate_about:oath*&swearing
talk_to	communicate_to:viewpoint*&talking
whistle_for	communicate_to:whistle*&whistling, seek_with:whistle&whistling
write_to	communicate_to:text*&writing
argue_via	communicate_with:argument*&arguing
bloviate_with	communicate_with:waffle*&bloviating
communicate_using	communicate_with:viiewpoint*&communicating
repond_with	communicate_with:response*&responding
answer_questions_from	communicate_to:answer*&answering
communicate_with	communicate_with:viewpoint*&communicating
confer_with	communicate_to:advice*&conferring, seek_from:advice*&conferring
consult	seek_from:counsel*&consulting
consult_with	communicate_to:counsel*&consulting, seek_from:counsel*&consulting
debate_with	communicate_to:argument*&debating, communicate_to:riposte*&debating
emit	communicate_with:meaning*
flirt_with	communicate_to:pickup_line*&flirting
interrogate	communicate_to:tough_question*&interrogating, obtain_from:hard_answer*&interrogating
interview	communicate_to:question*&interviewing, obtain_from:answer*&interviewing
question	communicate_to:question*&questioning
sign_with	<appoint_with:signature&signing
speak_with	communicate_to:perspective*&speaking
campaign_against	oppose_with:campaign&campaigning
challenge	oppose_with:challenge&challenging
compete_against	oppose_with:competition&competing
contest	oppose_with:contest&contesting
contradict	oppose_with:contradiction&contradicting
fight	oppose_with:vehemence&fighting
fight_against	oppose_with:violence&fighting
play_against	oppose_with:game_play&playing, oppose_in:game*&playing
campaign_in	seek_in:mandate*&campaigning, oppose_in:opponent*&campaigning
campaign_on	seek_about:mandate*&campaigning, oppose_about:rival*&campaigning
compete_in	seek_in:win*&competing, oppose_in:competitor*&competing
fight_at	seek_in:win*&fighting, oppose_in:enemy*&fighting
fight_in	seek_in:victory*&fighting, oppose_in:enemy*&fighting
fight_on	seek_in:victory*&fighting, oppose_in:enemy*&fighting
gamble_at	seek_in:jackpot*&gambling
gamble_in	seek_in:jackpot*&gambling
protest_at	seek_in:moral_victory*&protesting, oppose_in:opposition*&protesting
race_in	seek_in:first_place*&racing
rampage_at	seek_in:destruction*&rampaging, oppose_in:victim*&rampaging
compete_for	seek_in:competition&competing
contend_for	seek_in:contest&contending
fight_for	oppose_for:enemy*&fighting
fight_over	oppose_for:enemy*&fighting
race_for	oppose_for:competitor*&racing, seek_for:first_place*&racing
race	seek_with:first_place*&racing, control_in:race*
ride	seek_with:first_place*&racing, control_in:race*
compete_with	seek_with:win*&competing
fight_with	seek_with:victory*&fighting
swim_for	seek_for:first_place*&swimming
chew	consume_with:teeth&chewing
devour	consume_with:fang&devouring
drain	consume_with:puncture&draining
drink	consume_with:gulp&drinking
eat	consume_with:bite&eating
gobble	consume_with:swallow&gobbling
inject	consume_with:injection&injecting
munch	consume_with:noisy_bite&munching
smoke	consume_with:inhalation&smoking
consume	consume_from:supplier&consuming
drink_in	consume_at:beverage*&drinking
eat_at	consume_at:food*&eating
eat_from	consume_at:food*&eating
eat_in	consume_at:food*&eating
inject_into	consume_at:drug*&injecting
chew_with	consume_with:food*&chewing
drain_with	consume_with:beverage*&draining
arrange	control_with:arrangement&arranging
blackmail	control_with:blackmail&blackmailing
brainwash	control_with:mind_control&brainwashing, control_of:mind*&brainwashing
choreograph	control_with:choreography&choreographing, control_of:dancer*&choreographing
command	control_with:command&commanding
commandeer	control_with:force&commandeering
control	control_with:authority&controlling
curate	control_with:selectivity&curating, control_of:content*&curating
deescalate	stop_with:deescalation&deescalating, imbue_with:calm&deescalating
direct	control_with:direction&directing
dominate	control_with:domination&dominating
enchant	control_with:magic&enchanting, control_of:mind*&enchanting
enslave	control_with:slavery&enslaving, control_of:freedom*&enslaving
enthrall	control_with:enslavement&enthralling, control_of:mind*&enthralling
experiment_on	control_with:experimentation&experimenting
front	control_with:charisma&fronting
govern	control_with:government&governing
handle	control_with:grasp&handling
hijack	control_with:threat&hijacking
host	control_with:presentation&hosting
lead	control_with:leadership&leading
manage	control_with:management&managing
master	control_with:mastery&mastering
moderate	control_with:moderation&moderating
officiate_at	control_with:ritual&officiating, control_of:ritual*&officiating
operate	control_with:operation&operating, control_of:operation*&operating
oppress	control_with:oppression&oppressing
orchestrate	control_with:orchestration&orchestrating
organize	control_with:organization&organizing, control_of:schedule*&organizing
overrun	control_with:force&overrunning
oversee	control_with:oversight&overseeing
overwhelm	control_with:force&overwhelming
patent	control_with:patent&patenting, seek_for:patent*&patenting
preside_over	control_with:presidency&presiding
regulate	control_with:regulation&regulating, control_of:regulation*&regulating
repress	control_with:repression&repressing
rule	control_with:edict&ruling
rule_over	control_with:edict&ruling
run	control_of:operation*&running
schedule	control_of:timing*&scheduling
steer	control_of:direction*&steering
subjugate	control_with:subjugation&subjugating
supervise	control_with:supervision&supervising
suppress	control_with:suppression&suppressing, control_of:freewill*&suppressing
take_command_of	control_with:command&commanding
take_over	control_with:take_over&taking_over
tame	control_with:behavior_modification&taming, imbue_with:docility&taming
administer	control_of:running*&administering
constrain	control_with:constraint&constraining, control_of:freedom*&constraining
cover	control_with:coverage&covering
limit	control_with:limitation&limiting, control_of:freedom*&limiting
restrain	control_with:restraint&restraining, control_of:freedom*&restraining
command_in	control_in:soldier*&commanding
rule_from	control_in:subject*&ruling
conduct_with	control_with:orchestra*&conducting
direct_with	control_with:movement*&directing
drive_with	control_with:movement*&driving
enchant_with	control_with:mind*&enchanting, perform_as:enchantment&enchanting
enforce	control_with:target*&enforcing, respect_as:reality&enforcing
enthrall_with	control_with:thrall*&enthralling, control_with:mind*&enthralling
govern_via	control_with:government*&governing
govern_with	control_with:government*&governing
impose	seek_with:control*&imposing, respect_as:policy&imposing
manage_with	control_with:management*&managing
navigate_with	control_with:direction*&navigating
operate_with	control_with:operation*&operating
restrain_with	control_with:detainee*&restraining
rule_by	control_with:realm*&ruling
rule_with	control_with:domain*&ruling
supervise_with	control_with:underling*&supervising
are_mistaken_for	produce_of:copy*&copying
copy	produce_of:copy*&copying
counterfeit	produce_of:forgery*&counterfeiting
imitate	produce_of:imitation*&imitating
impersonate	produce_of:impersonation*&impersonating
mimic	produce_of:impression*&mimicking
model	produce_of:model*&modelling
plagiarize	produce_of:direct_copy*&plagiarizing
portray	produce_of:portrayal*&portraying
pretend_to_be	produce_of:pretence*&pretending
repeat	produce_of:repeat*&repeating
resemble	produce_of:resemblance*&resembling
shadow	produce_of:shadow*&shadowing
fill_in_for	produce_of:substitute*&filling_in, support_as:substitute&filling_in
abhor	communicate_about:abhorrance*&abhorring
chastise	communicate_to:chastisement*&chastising
criticize	communicate_to:criticism*&criticizing, communicate_about:criticism*&criticizing
curse	propel_at:curse*&cursing, seek_for:ruin*&cursing
despise	communicate_about:hatred*&despising, <imbue_with:hate&enraging
frown_on	communicate_about:displeasure*&frowning
hate	communicate_about:hate*&hating, <imbue_with:hate&enraging
heckle	propel_at:heckle*&heckling, !respect_as:performer&heckling
humiliate	communicate_to:contempt*&humiliating, seek_for:humiliation*&humiliating
indict	seek_for:conviction*&indicting, communicate_to:indictment*&indicting
insult	propel_at:insult*&insulting, communicate_about:insult*&insulting
laugh_at	communicate_about:ridicule*&ridiculing
mock	communicate_about:mockery*&mocking
penalize	damage_with:penalty&penalizing, control_with:penalty&penalizing
resent	communicate_about:resentment*&resenting, <imbue_with:resentment&alienating
satirize	produce_about:satire*&satirizing, communicate_about:satire*, damage_with:satire*
scoff_at	communicate_about:scorn*&scoffing, communicate_to:scorn*&scoffing
sue	propel_at:lawsuit*&suing, start_against:lawsuit*&suing
taunt	propel_at:taunt*&taunting, communicate_to:taunt*&taunting
accuse	communicate_about:accusation*&accusing, communicate_to:accusation*&accusing
criticize_with	^<communicate_about:victim&criticizing, communicate_to:scorn*&criticizing
curse_with	propel_at:victim&cursing, seek_with:cursed_outcome*&cursing
insult_with	propel_at:victim&insulting, communicate_about:insult*insulting
chop	cut_with:cutting_implement&chopping
clip	cut_with:cutting_implement&clipping
cut	cut_with:cutting_implement&cutting
cut_off	cut_with:cutting_implement&cutting
cut_open	cut_with:cutting_implement&cutting
dissect	cut_with:cutting_implement&dissecting
penetrate	cut_with:pointed_implement&penetrating
puncture	cut_with:pointed_implement&puncturing
reduce	seek_in:reduction*&reducing, control_of:quantity*&reducing
skin	cut_from:skin*&skinning
slash	cut_with:cutting_implement&slashing
slice	cut_with:cutting_implement&slicing
trim	cut_with:cutting_implement&trimming
divide	cut_with:cutting_implement&dividing, seek_in:reduction*&dividing
chop_with	cut_with:material*&chopping
cut_with	cut_with:material*&cutting
dissect_with	cut_with:material*&dissecting
pierce_with	cut_with:covering*&piercing
slash_with	cut_with:covering*&slashing
slice_with	cut_with:substance*&slicing
stab_with	cut_with:victim*&stabbing, damage_with:victim*&stabbing
trim_with	cut_with:material*&trimming
abuse	damage_with:abuse&abusing
assault	damage_with:assault&assaulting
attack	damage_with:attack&attacking
beat_up	damage_with:violence&beating
betray	damage_with:betrayal&betraying
bite	damage_with:teeth&biting
break	damage_with:destruction&breaking
cause_trouble_for	damage_with:trouble&troubling
crash_land_in	damage_with:crash_landing&landing
crush	damage_with:pressure&crushing
damage	damage_with:irresponsible_behaviour&damaging
debase	damage_with:wanton_behaviour&debasing
deface	damage_with:vandalism&defacing
delude	damage_with:delusion&deluding
disfigure	damage_with:scar&disfiguring
disrupt	damage_with:interruption&disrupting
distort	damage_with:distortion&distorting
embarrass	produce_for:embarrassment*&embarrassing, damage_with:embarrassment&embarrassing
harass	damage_with:harassment&harassing
hit	damage_with:blow&hitting
hurt	damage_with:pain&hurting
invade	damage_with:invasion&invading
meddle_in	communicate_about:unwanted_advice*&meddling, damage_with:intrusion&meddling
molest	damage_with:molestation&molesting
persecute	damage_with:persecution&persecuting
poison	damage_with:poison&poisoning, <consume_at:poison*&poisoning
punch	damage_with:fist&punching
punish	damage_with:punishment&punishing
sabotage	damage_with:sabotage&sabotaging
stab	damage_with:cutting_implement&stabbing
sting	damage_with:pointed_instrument&stinging
subvert	damage_with:subversion&subverting
tarnish	damage_with:stain&tarnishing
torment	damage_with:torment&tormenting
torture	damage_with:torture&torturing
victimize	damage_with:mistreatment&victimizing
violate	damage_with:violation&violating
whip	damage_with:whip&whipping
corrupt	damage_with:corruption&corrupting
attack_in	damage_with:victim*&attacking
charge_on	damage_with:target*&charging
rampage_in	damage_with:victim*&rampage
charge_with	damage_with:target*&charging
attack_with	damage_with:victim*&attacking
bite_with	damage_with:victim*&biting
deface_with	damage_with:edifice*&defacing
hit_with	damage_withvictim*&hitting
hurt_with	damage_with:victim*&hurting
inflict	damage_with:victim*&inflicting
punch_with	damage_withvictim*&punching
punish_with	damage_with:victim*&punishing
sting_with	damage_with:victim*&strining
torture_with	damage_with:victim*&torturing
weaponize	damage_with:victim*&weaponizing
deal_in	perform_in:trade*&dealing, provide_to:buyer&dealing, obtain_from:seller&dealing
exchange	perform_of:exchange*&exchanging
trade	perform_of:trade*&trading, provide_to:buyer&trading, obtain_from:seller&trading
trade_in	perform_of:trade*&trading, provide_to:buyer&trading, obtain_from:seller&trading
traffic_in	perform_of:trade*&trafficking, provide_to:buyer&trafficking, obtain_from:seller&trafficking
bargain_with	perform_with:trade*&bargaining, seek_from:bargain*&bargaining
book_with	obtain_from:reservation*&booking
deal_with	perform_with:trade*&dealing, seek_from:deal*&dealing
negotiate_with	perform_with:negotiation*&negotiating, seek_from:settlement*&negotiating
cheat	deceive_with:fraud&cheating
cheat_on	deceive_with:&dishonesty&cheating
deceive	deceive_with:deception&deceiving
fool	deceive_with:foolery&fooling, !respect_as:genius&fooling
lead_astray	deceive_with:misdirection&misleading, provide_to:misinformation*&misleading
lie_to	deceive_with:lie&lying, communicate_to:lie*&lying, provide_to:misinformation*&lying
mislead	deceive_with:misdirection&misleading, provide_to:misinformation*&misleading
trick	deceive_with:trickery&tricking
misrepresent	deceive_with:misrepresentation&misrepresenting
spread_lies_about	communicate_about:lie*&lying, damage_with:lie&tarnishing
cheat_with	deceive_with:dupe*&cheating, start_with:affair*&cheating
cheat_using	deceive_with:dupe*&cheating
lie_for	deceive_for:dupe*&lying
deceive_with	deceive_with:dupe*&lying
exaggerate_with	deceive_with:dupe*&exaggerating
falsify	deceive_with:dupe*&falsifying
litigate_for	protect_with:legal_action&litigating
delegate_to	deploy_with:responsibility&delegating
deploy	deploy_with:mission&deploying
dispatch	deploy_with:message&dispatching
mobilize	deploy_with:mission&mobilizing
plant	deploy_with:purpose&planting
delegate	deploy_with:delegate*&delegating
assassinate	damage_with:murder&assassinating, stop_with:murder&assassinating
burn	damage_with:fire&burning
burn_down	damage_with:arson&burning, stop_with:arson&burning
destroy	damage_with:destruction&destroying, stop_with:destruction&destroying
execute	damage_with:execution&executing, stop_with:execution&executing
kill	damage_with:killing, stop_with:killing
kill_off	damage_with:murder&killing, stop_with:murder&killing
murder	damage_with:murder&murdering, stop_with:murder&murdering
ruin	damage_with:ruination&ruining, stop_with:ruination&ruining
slaughter	damage_with:slaughter&slaughtering, stop_with:slaughter&slaughtering
slay	damage_with:slaughter&slaying, stop_with:slaughter&slaying
smash	damage_with:destruction&smashing
strangle	damage_with:strangulation&strangling, stop_with:asphixiation&strangling
detonate_in	damage_with:explosion&detonating
kill_for	damage_for:victim*&assassinating
sacrifice_to	damage_for:sacrificial_lamb*&sacrificing, stop_for:sacrificial_lamb*&sacrificing
destroy_with	damage_with:target*&destroying
detonate	damage_with:target*&detonating
execute_with	damage_with:victim*&executing, stop_with:victim*&executing
explode	damage_with:target*&exploding
kill_with	damage_with:victim*&killing
demonstrate	display_with:demonstration&demonstrating
depict	display_with:depiction&depicting
display	display_with:visibility&displaying
exhibit	display_with:exhibition&exhibiting
highlight	display_with:focus&highlighting
illuminate	display_with:light&illuminating
mount	display_with:support&mounting
present_with	display_with:presentation&presenting
prove	display_with:proof&proving
show	display_with:show
show_off	display_with:pride&boasting
exude	display_with:obviousness&exuding, communicate_with:obviousness&exuding, 
flaunt	display_with:pride&flaunting, communicate_with:pride &flaunting
flex	display_with:effort&flexing
display_at	display_at:artwork*&displaying
display_in	display_at:artwork*&displaying
exhibit_at	display_at:product*&exhibiting
exhibit_in	display_at:product*&exhibiting
model_in	display_at:self*&modelling
promote	support_with:promotion&promoting, appoint_with:promotion&promoting
are_afflicted_with	<imbue_with:pain&afflicting
endure	<imbue_with:suffering&afflicting
experience	<imbue_with:experience&affecting
live_through	<imbue_with:experience&affecting
shrug_off	<imbue_with:nonchalance&affecting
succumb_to	<imbue_with:weakness&afflicting
suffer	<imbue_with:suffering&afflicting
suffer_from	<imbue_with:suffering&afflicting
suffer_through	<imbue_with:suffering&afflicting
suffer_under	<imbue_with:suffering&afflicting
survive	<imbue_with:experience&affecting
undergo	<imbue_with:frustration&affecting
survive_in	<imbue_with:experience&affecting, <protect_from:outside_force&keeping
participate_in	perform_with:counterpart&participating
engage_in	perform_with:counterpart&engaging
date	perform_with:dating_ritual*&dating
encounter	perform_with:encounter*&encountering
engage_with	perform_with:engagement*&engaging
face	perform_with:engagement*&facing
advance	enhance_with:advancement&advancing
beautify	enhance_with:beauty&beautifying, tend_with:beauty_treatment&beautifying
build_up	enhance_with:consolidation&building
clean	enhance_with:hygiene&cleaning
decorate	enhance_with:decoration&decorating
diversify	enhance_with:diversity&diversifying
dress	enhance_with:fashion&dressing
dye	enhance_with:dye&colouring, tend_with:dye&colouring
enhance	enhance_with:effort&enhancing
exceed	enhance_with:excess&exceeding
expand	enhance_with:growth&expanding
go_beyond	enhance_with:advancement&advancing
hone	enhance_with:improvement&honing
improve	enhance_with:improvement&improving
improve_on	enhance_with:improvement&improving
inflate	enhance_with:growth&inflating
plow	enhance_with:plow&plowing
polish	enhance_with:polish&polishing, tend_with:polish&polishing
refine	enhance_with:refinement&refining
renew	enhance_with:renewal&renewing
replenish	enhance_with:renewal&replenishing
revolutionize	enhance_with:revolution&revolutionizing
rewrite	enhance_with:rewrite&rewriting
sensationalize	enhance_with:sensationalism&sensationalizing
sharpen	enhance_with:sharpness&sharpening
streamline	enhance_with:smoothness&streamlining
stretch	enhance_with:growth&stretching
style	enhance_with:style&styling, tend_with:style&styling
translate	enhance_with:translation&translating, produce_of:translation*&translating
update	enhance_with:update&updating
wash	enhance_with:hygiene&washing
water	enhance_with:hydration&watering, tend_with:water&watering
annotate	enhance_with:annotation&annotating, produce_of:annotated_copy*&annotating
balance	enhance_with:balance&balancing
fertilize	enhance_with:fertility&fertiizing, tend_with:fertilizer&fertiizing
formalize	enhance_with:formality&formalizing
fortify	support_with:fortification&fortifying, enhance_with:strength&fortifying
foster	enhance_with:nurture&nurturing, tend_with:nurture&nurturing
clean_with	enhance_with:target*&cleaning
dry_with	enhance_with:target*&drying
tighten_with	enhance_with:target*&tightening
water_with	enhance_with:plant*&watering, tend_with:plant*&watering
revise	enhance_with:revision&revising, fix_with:revision&revising
extend	exhance_with:growth&extending
develop_in	produce_in:product*&developing
exploit	control_with:exploitation&exploiting, obtain_from:advantage*&exploiting
invest	enhance_with:investment&investing
leverage	enhance_with:leverage&leveraging, control_with:target*&leveraging
misuse	control_with:misuse&misusing, oppose_with:target*&misusing
overwork	control_with:demand&overworking, control_of:workload*&overworking
sacrifice	damage_with:sacrifice&sacrificing, stop_with:sacrifice&sacrificing
starve	control_with:hunger&starving, damage_with:hunger&starving, !provide_to:food*:starving
take_advantage_of	obtain_from:advantage*&exploiting
waste	!obtain_from:value*&wasting, !control_with:wisdom&wasting
bet	provide_as:collateral&betting, seek_with:jackpot*&betting
gamble	provide_as:collateral&gambling, seek_with:jackpot*&gambling
ply	perform_with:task*&plying
spend	obtain_with:possession*&spending
defraud	deceive_for:profit&defrauding, deceive_with:fraud&defrauding
alter	fix_with:alteration&altering, enhance_with:alteration&altering
cure	fix_with:treatment&curing, enhance_with:treatment&curing
cure_of	fix_for:patient&curing, stop_with:treatment&curing
dry	enhance_with:dryness&drying
edit	enhance_with:revision&editing, fix_with:revision&editing
heal	fix_with:treatment&healing
operate_on	fix_with:surgery&operating
repair	fix_with:repair&repairing
replace	provide_as:replacement&replacing
resolve	fix_with:solution&resolving
restore	fix_with:restoration&restoring, enhance_with:freshness&restoring
salvage	obtain_from:salvage*&salvaging
settle	fix_with:settlement&settling, stop_with:settlement&settling
solve	fix_with:solution&solving
sweep	enhance_with:tidiness&sweeping
tighten	enhance_with:tightness&tightening
treat	fix_with:treatment&treating
weld	fix_with:solder&welding
correct	fix_with:revision&correcting
fit	enhance_with:target*&fitting
edit_with	fix_with:text*&editing
heal_with	fix_with:ailment*&healing
solve_with	fix_with:problem*&solving
treat_with	fix_with:illness*&treating
weld_with	fix_with:breakage*&welding
major_in	^inform_about:teacher&teaching, select_as:major&majoring
read_the_works_of	<inform_about:worldview&educating
research	seek_about:answer*&researching, seek_in:insight*&researching
research_in	seek_in:answer*&researching
specialize_in	respect_as:priority&specializing, select_as:speciality&specializing
study	^inform_about:teacher&educating, seek_in:insight*&studying
take_up	select_as:hobby&taking_up, seek_in:expertise*&taking_up
free	provide_to:freedom*&freeing, imbue_with:freedom&freeing
let_go_of	provide_to:independence*&letting_go
release	provide_to:release*&releasing
